Name,Rarity,Attunement,Type,Source,Description,URL,Notes
Boots of Elvenkind,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"While you wear these boots, your steps make no sound, regardless of the surface you are moving across. You also have advantage on Dexterity (Stealth) checks that rely on moving silently.
",http://dnd5e.wikidot.com/wondrous-items:boots-of-elvenkind,
Boots of Striding and Springing,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"While you wear these boots, your walking speed becomes 30 feet, unless your walking speed is higher, and your speed isn't reduced if you are encumbered or wearing heavy armor. In addition, you can jump three times the normal distance, though you can't jump farther than your remaining movement would allow.
",http://dnd5e.wikidot.com/wondrous-items:boots-of-striding-and-springing,
Boots of the Winterlands,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"These furred boots are snug and feel quite warm. While you wear them, you gain the following benefits:
",http://dnd5e.wikidot.com/wondrous-items:boots-of-the-winterlands,
Bottled Breath,uncommon,No Attunement,Potion,Princes of the Apocalypse,"This bottle contains a breath of elemental air. When you inhale it, you either exhale it or hold it.
If you exhale the breath, you gain the effect of the Gust of Wind spell. If you hold the breath, you don’t need to breathe for 1 hour, though you can end this benefit early (for example, to speak). Ending it early doesn’t give you the benefit of exhaling the breath.
",http://dnd5e.wikidot.com/wondrous-items:bottled-breath,
Brooch of Living Essence,uncommon,requires attunement,Wondrous item,Explorer's Guide to Wildemount,"While wearing this nondescript brooch, spells and anything else that would detect or reveal your creature type treat you as humanoid, and those that would reveal your alignment treat it as neutral.
",http://dnd5e.wikidot.com/wondrous-items:brooch-of-living-essence,
Brooch of Shielding,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the Magic Missile spell.
",http://dnd5e.wikidot.com/wondrous-items:brooch-of-shielding,
Broom of Flying,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This wooden broom, which weighs 3 pounds, functions like a mundane broom until you stand astride it and speak its command word. It then hovers beneath you and can be ridden in the air. It has a flying speed of 50 feet. It can carry up to 400 pounds, but its flying speed becomes 30 feet while carrying over 200 pounds. The broom stops hovering when you land.
You can send the broom to travel alone to a destination within 1 mile of you if you speak the command word, name the location, and are familiar with that place. The broom comes back to you when you speak another command word, provided that the broom is still within 1 mile of you.
",http://dnd5e.wikidot.com/wondrous-items:broom-of-flying,
Cap of Water Breathing,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"While wearing this cap underwater, you can speak its command word as an action to create a bubble of air around your head. It allows you to breathe normally underwater. This bubble stays with you until you speak the command word again, the cap is removed, or you are no longer underwater.
",http://dnd5e.wikidot.com/wondrous-items:cap-of-water-breathing,
Circlet of Blasting,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"While wearing this circlet, you can use an action to cast the Scorching Ray spell with it. When you make the spell's attacks, you do so with an attack bonus of +5. The circlet can't be used this way again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:circlet-of-blasting,
Cloak of Elvenkind,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"While you wear this cloak with its hood up, Wisdom (Perception) checks made to see you have disadvantage, and you have advantage on Dexterity (Stealth) checks made to hide, as the cloak's color shifts to camouflage you. Pulling the hood up or down requires an action.
",http://dnd5e.wikidot.com/wondrous-items:cloak-of-elvenkind,
Cloak of Protection,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"You gain a +1 bonus to AC and saving throws while you wear this cloak.
",http://dnd5e.wikidot.com/wondrous-items:cloak-of-protection,
Cloak of the Manta Ray,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"While wearing this cloak with its hood up, you can breathe underwater, and you have a swimming speed of 60 feet. Pulling the hood up or down requires an action.
",http://dnd5e.wikidot.com/wondrous-items:cloak-of-the-manta-ray,
Coiling Grasp Tattoo,uncommon,requires attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo has long intertwining designs.
Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.
Grasping Tendrils. While the tattoo is on your skin, you can, as an action, cause the tattoo to extrude into inky tendrils, which reach for a creature you can see within 15 feet of you. The creature must succeed on a DC 14 Strength saving throw or take 3d6 force damage and be grappled by you. As an action, the creature can escape the grapple by succeeding on a DC 14 Strength (Athletics) or Dexterity (Acrobatics) check. The grapple also ends if you halt it (no action required), if the creature is ever more than 15 feet away from you, or if you use this tattoo on a different creature.
",http://dnd5e.wikidot.com/wondrous-items:coiling-grasp-tattoo,
Cracked Driftglobe,uncommon,No Attunement,Wondrous item,Candlekeep Mysteries,"This small sphere of thick glass weighs 1 pound. If you are within 60 feet of it, you can speak its command word cause it to emanate the Light spell.
",http://dnd5e.wikidot.com/wondrous-items:cracked-driftglobe,
Cursed Luckstone,uncommon,requires attunement,Wondrous item,Ghosts of Saltmarsh,"This flat, gray-and-black river stone is inscribed with an unknown arcane symbol and feels cool to the touch. While carrying the stone. you can gain advantage on one ability check of your choice. The stone can't be used this way again until the next dawn.
Curse. This item is cursed. Attuning to it curses you until you are targeted by a remove curse spell or similar magic. As long as you remain cursed, you cannot discard the stone, which immediately teleports back into your pocket or pack. After you use the stone's magic, your next two ability checks are made with disadvantage.
",http://dnd5e.wikidot.com/wondrous-items:cursed-luckstone,
Decanter of Endless Water,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This stoppered flask sloshes when shaken, as if it contains water. The decanter weighs 2 pounds.
You can use an action to remove the stopper and speak one of three command words, whereupon an amount of fresh water or salt water (your choice) pours out of the flask. The water stops pouring out at the start of your next turn. Choose from the following options:
",http://dnd5e.wikidot.com/wondrous-items:decanter-of-endless-water,
Deck of Illusions,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This box contains a set of parchment cards. A full deck has 34 cards. A deck found as treasure is usually missing 1d20 - 1 cards.
The magic of the deck functions only if cards are drawn at random (you can use an altered deck of playing cards to simulate the deck). You can use an action to draw a card at random from the deck and throw it to the ground at a point within 30 feet of you.
An illusion of one or more creatures forms over the thrown card and remains until dispelled. An illusory creature appears real, of the appropriate size, and behaves as if it were a real creature (as presented in the Monster Manual), except that it can do no harm. While you are within 120 feet of the illusory creature and can see it, you can use an action to move it magically anywhere within 30 feet of its card. Any physical interaction with the illusory creature reveals it to be an illusion, because objects pass through it. Someone who uses an action to visually inspect the creature identifies it as illusory with a successful DC 15 Intelligence (Investigation) check. The creature then appears translucent.
The illusion lasts until its card is moved or the illusion is dispelled. When the illusion ends, the image on its card disappears, and that card can't be used again.
",http://dnd5e.wikidot.com/wondrous-items:deck-of-illusions,"Needs manual intervention, has a table. "
Dragon Vessel,Rarity Varies,Requires Attunement,Wondrous Item,Fizban's Treasury of Dragons,"This vessel can be a potion bottle, drinking horn, or other container meant to hold a liquid.
Slumbering (Uncommon). As a bonus action, if the vessel is empty, you can speak the command word to fill the vessel with one of the following (your choice): Ale, Olive Oil, a Potion of Healing, or a Potion of Climbing. Once this property is used, it can’t be used until the next dawn. A potion you create in this way loses its magical properties if it isn’t imbibed within 24 hours.
Stirring (Rare). In addition to the options for a Slumbering vessel, you can fill a Stirring vessel with Mead, a Potion of Fire Breath, or a Greater Potion of Healing.
Wakened (Very Rare). In addition to the options for a Slumbering or Stirring vessel, you can fill a Wakened vessel with Wine, a Potion of Flying, or a Superior Potion of Healing.
Ascendant (Legendary). In addition to the options for other states, you can fill an Ascendant vessel with Whiskey, a Supreme Potion of Healing, or a Potion of Dragon’s Majesty.
",http://dnd5e.wikidot.com/wondrous-items:dragon-vessel,
"Dragonhide Belt, +1",uncommon ,Requires Attunement by a Monk,Wondrous Item,Fizban's Treasury of Dragons,"This finely detailed belt is made of dragonhide. While wearing it, you gain a bonus to the saving throw DCs of your ki features. The bonus is determined by the belt’s rarity. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can’t use this action again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:dragonhide-belt,Multiple items. 
"Dragonhide Belt, +2",rare ,Requires Attunement by a Monk,Wondrous Item,Fizban's Treasury of Dragons,"This finely detailed belt is made of dragonhide. While wearing it, you gain a bonus to the saving throw DCs of your ki features. The bonus is determined by the belt’s rarity. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can’t use this action again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:dragonhide-belt,Multiple items. 
"Dragonhide Belt, +3",very rare ,Requires Attunement by a Monk,Wondrous Item,Fizban's Treasury of Dragons,"This finely detailed belt is made of dragonhide. While wearing it, you gain a bonus to the saving throw DCs of your ki features. The bonus is determined by the belt’s rarity. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can’t use this action again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:dragonhide-belt,Multiple items. 
Dragon's Wrath Weapon,Rarity Varies,Requires Attunement,Weapon (Any),Fizban's Treasury of Dragons,"This weapon is decorated with dragon heads, claws, wings, scales, or Draconic letters. When it steeps in a dragon’s hoard, it absorbs the energy of the dragon’s breath weapon and deals damage of that type with its special properties.
Slumbering (Uncommon). Whenever you roll a 20 on your attack roll with this weapon, each creature of your choice within 5 feet of the target takes 5 damage of the type dealt by the dragon’s breath weapon.
Stirring (Rare). The Stirring weapon has the Slumbering property. In addition, you gain a +1 bonus to attack and damage rolls made using the weapon. On a hit, the weapon deals an extra 1d6 damage of the type dealt by the dragon’s breath weapon.
Wakened (Very Rare). The Wakened weapon has the Slumbering property, and it improves on the Stirring property. The bonus to attack and damage rolls increases to +2, and the extra damage dealt by the weapon increases to 2d6.
As an action, you can unleash a 30-foot cone of destructive energy from the weapon. Each creature in that area must make a DC 16 Dexterity saving throw, taking 8d6 damage of the type dealt by the dragon’s breath weapon on a failed save, or half as much damage on a successful one. Once this action is used, it can’t be used again until the next dawn.
Ascendant (Legendary). The Ascendant weapon has the Slumbering property, and it improves on the Stirring and Wakened properties. The bonus to attack and damage rolls increases to +3, and the extra damage dealt by the weapon increases to 3d6.
The cone of destructive energy the weapon creates increases to a 60-foot cone, the save DC increases to 18, and the damage increases to 12d6.
",http://dnd5e.wikidot.com/wondrous-items:dragons-wrath-weapon,
Dragon-Touched Focus,Rarity Varies,Requires Attunement by a Spellcaster,Wondrous Item,Fizban's Treasury of Dragons,"This wondrous item can be a scepter, an orb, an amulet, a crystal, or another finely crafted object. It typically incorporates imagery of dragons’ wings, claws, teeth, or scales.
Slumbering (Uncommon). You have advantage on initiative rolls. While you are holding the focus, it can function as a spellcasting focus for all your spells.
Stirring (Rare). The Stirring focus has the Slumbering property, and it gains an additional property determined by the family of the dragon in whose hoard it became Stirring:
Chromatic. Whenever you use a spell slot to cast a spell that deals acid, cold, fire, lightning, or poison damage, roll a d6, and you gain a bonus equal to the number rolled to one of the spell’s damage rolls.
Gem. Whenever you use a spell slot to cast a spell, you can immediately teleport to an unoccupied space you can see within 15 feet of you.
Metallic. When a creature you can see within 30 feet of you makes a saving throw, you can use your reaction to give that creature advantage on the saving throw.
Wakened (Very Rare). The Wakened focus has the Slumbering and Stirring properties, and while you are holding a Wakened focus, you can use it to cast certain spells. Once the item is used to cast a given spell, it can’t be used to cast that spell again until the next dawn. The spells are determined by the family of the dragon in whose hoard it became Wakened.
Chromatic. Hold Monster, Rime’s Binding Ice
Gem. Rary’s Telepathic Bond, Raulothim’s Psychic Lance
Metallic. Fizban’s Platinum Shield, Legend Lore
Ascendant (Legendary). The Ascendant focus has the Slumbering, Stirring, and Wakened properties. In addition, when you cast a spell of 1st level or higher while holding this focus, you can treat the spell as if it were cast using a 9th-level spell slot. Once this property is used, it can’t be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:dragon-touched-focus,
Driftglobe,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This small sphere of thick glass weighs 1 pound. If you are within 60 feet of it, you can speak its command word and cause it to emanate the Light or Daylight spell. Once used, the Daylight effect can't be used again until the next dawn.
You can speak another command word as an action to make the illuminated globe rise into the air and float no more than 5 feet off the ground. The globe hovers in this way until you or another creature grasps it. If you move more than 60 feet from the hovering globe, it follows you until it is within 60 feet of you. It takes the shortest route to do so. If prevented from moving, the globe sinks gently to the ground and becomes inactive, and its light winks out.
",http://dnd5e.wikidot.com/wondrous-items:driftglobe,
Dust of Corrosion,Uncommon,No Attunement,Wondrous Item,The Wild Beyond The Witchlight,"As an action, you can throw this dust into the air, filling a 10-foot cube that extends out from you. Surfaces and objects made of nonmagical ferrous metal in the area instantly corrode and turn to dust, becoming useless and unsalvageable. Any creature in the area that is made wholly or partly out of ferrous metal must make a DC 13 Constitution saving throw, taking 4d8 necrotic damage on a failed save, or half as much damage on a successful one.
Found in a small packet, this dust is made from finely ground rust monster antennae. There is enough dust in each packet for one use.
",http://dnd5e.wikidot.com/wondrous-items:dust-of-corrosion,
Dust of Deliciousness,uncommon,No Attunement,Wondrous item,Explorer's Guide to Wildemount,"This reddish brown dust can be sprinkled over any edible substance to greatly improve the flavor. The dust also dulls the eater's senses: anyone eating food treated with this dust has disadvantage on Wisdom ability checks and Wisdom saving throws for 1 hour. There is enough dust to flavor six servings.
",http://dnd5e.wikidot.com/wondrous-items:dust-of-deliciousness,
Dust of Disappearance,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"Found in a small packet, this powder resembles very fine sand. There is enough of it for one use. When you use an action to throw the dust into the air, you and each creature and object within 10 feet of you become invisible for 2d4 minutes. The duration is the same for all subjects, and the dust is consumed when its magic takes effect. If a creature affected by the dust attacks or casts a spell, the invisibility ends for that creature.
",http://dnd5e.wikidot.com/wondrous-items:dust-of-disappearance,
Dust of Dryness,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This small packet contains 1d6 + 4 pinches of dust. You can use an action to sprinkle a pinch of it over water. The dust turns a cube of water 15 feet on a side into one marble-sized pellet, which floats or rests near where the dust was sprinkled. The pellet's weight is negligible.
Someone can use an action to smash the pellet against a hard surface, causing the pellet to shatter and release the water the dust absorbed. Doing so ends that pellet's magic.
An elemental composed mostly of water that is exposed to a pinch of the dust must make a DC 13 Constitution saving throw, taking 10d6 necrotic damage on a failed save, or half as much damage on a successful one.
",http://dnd5e.wikidot.com/wondrous-items:dust-of-dryness,
Dust of Sneezing and Choking,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"Found in a small container, this powder resembles very fine sand. It appears to be Dust of Disappearance, and an Identify spell reveals it to be such. There is enough of it for one use.
When you use an action to throw a handful of the dust into the air, you and each creature that needs to breathe within 30 feet of you must succeed on a DC 15 Constitution saving throw or become unable to breathe, while sneezing uncontrollably. A creature affected in this way is incapacitated and suffocating. As long as it is conscious, a creature can repeat the saving throw at the end of each of its turns, ending the effect on it on a success. The Lesser Restoration spell can also end the effect on a creature.
",http://dnd5e.wikidot.com/wondrous-items:dust-of-sneezing-and-choking,
Earworm,uncommon,requires attunement,Wondrous item,Eberron - Rising from the Last War,"To attune to this symbiont, you must hold it against the skin behind your ear for the entire attunement period, whereupon it burrows into your head and bonds to your skull. While the earworm is inside you, you can speak, read, and write Deep Speech.
Spells. The earworm has 4 charges. You can cast the following spells from it, expending the necessary number of charges (spell save DC 15): Detect Thoughts (2 charges) or Dissonant Whispers (1 charge). Each time you use the earworm to cast the Detect Thought spell, it sends the information gleaned to the nearest daelkyr, or to the next nearest earworm until it reaches a daelkyr.
The earworm regains 1d4 expended charges daily at dawn.
Symbiotic Nature. The earworm can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the earworm ends, and it exits your body.
",http://dnd5e.wikidot.com/wondrous-items:earworm,
Eldritch Claw Tattoo,uncommon,requires attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo depicts clawlike forms and other jagged shapes.
Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.
Magical Strikes. While the tattoo is on your skin, your unarmed strikes are considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks, and you gain a +1 bonus to attack and damage rolls with unarmed strikes.
Eldritch Maul. As a bonus action, you can empower the tattoo for 1 minute. For the duration, each of your melee attacks with a weapon or an unarmed strike can reach a target up to 15 feet away from you, as inky tendrils launch toward the target. In addition, your melee attacks deal an extra 1d6 force damage on a hit. Once used, this bonus action can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:eldritch-claw-tattoo,
Elemental Gem,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This gem contains a mote of elemental energy. When you use an action to break the gem, an elemental is summoned as if you had cast the Conjure Elemental spell, and the gem's magic is lost. The type of gem determines the elemental summoned by the spell.
",http://dnd5e.wikidot.com/wondrous-items:elemental-gem,"Needs manual intervention, has a table. "
Emerald Pen,Uncommon,No Attunement,Wondrous Item,Fizban's Treasury of Dragons,"This pen is tipped with an emerald nib and requires no ink to write. While holding this pen, you can cast Illusory Script at will, requiring no material components.
",http://dnd5e.wikidot.com/wondrous-items:emerald-pen,
Eversmoking Bottle,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"Smoke leaks from the lead-stoppered mouth of this brass bottle, which weighs 1 pound. When you use an action to remove the stopper, a cloud of thick smoke pours out in a 60-foot radius from the bottle. The cloud's area is heavily obscured. Each minute the bottle remains open and within the cloud, the radius increases by 10 feet until it reaches its maximum radius of 120 feet.
The cloud persists as long as the bottle is open. Closing the bottle requires you to speak its command word as an action. Once the bottle is closed, the cloud disperses after 10 minutes. A moderate wind (11 to 20 miles per hour) can also disperse the smoke after 1 minute, and a strong wind (21 or more miles per hour) can do so after 1 round.
",http://dnd5e.wikidot.com/wondrous-items:eversmoking-bottle,
Eyes of Charming,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"These crystal lenses fit over the eyes. They have 3 charges. While wearing them, you can expend 1 charge as an action to cast the Charm Person spell (save DC 13) on a humanoid within 30 feet of you, provided that you and the target can see each other. The lenses regain all expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:eyes-of-charming,
Eyes of Minute Seeing,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"These crystal lenses fit over the eyes. While wearing them, you can see much better than normal out to a range of 1 foot. You have advantage on Intelligence (Investigation) checks that rely on sight while searching an area or studying an object within that range.
",http://dnd5e.wikidot.com/wondrous-items:eyes-of-minute-seeing,
Eyes of the Eagle,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"These crystal lenses fit over the eyes. While wearing them, you have advantage on Wisdom (Perception) checks that rely on sight. In conditions of clear visibility, you can make out details of even extremely distant creatures and objects as small as 2 feet across.
",http://dnd5e.wikidot.com/wondrous-items:eyes-of-the-eagle,
Feywild Shard,uncommon,requires attunement by a sorcerer,Wondrous item,Tasha's Cauldron of Everything,"This warm crystal glints with the sunset colors of the Feywild sky and evokes whispers of emotional memory. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.
When you use a Metamagic option on a spell while you are holding or wearing the shard, you can roll on the Wild Magic Surge table in the Player's Handbook. If the result is a spell, it is too wild to be affected by your Metamagic, and if it normally requires concentration, it doesn't require concentration in this case; the spell lasts for its full duration.
If you don't have the Wild Magic Sorcerous Origin, once this property is used to roll on the Wild Magic Surge table, it can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:feywild-shard,
Figurine of Wondrous Power,rarity by figurine,No Attunement,Wondrous item,"Dungeon Master's Guide, Fizban's Treasury of Dragons","A Figurine of Wondrous Power is a statuette of a beast small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature. If the space where the creature would appear is occupied by other creatures or objects, or if there isn't enough space for the creature, the figurine doesn't become a creature.
The creature is friendly to you and your companions. It understands your languages and obeys your spoken commands. If you issue no commands, the creature defends itself but takes no other actions. See the Monster Manuel for the creature's statistics.
The creature exists for a duration specific to each figurine. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if it drops to 0 hit points or if you use an action to speak the command word again while touching it. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified in the figurine's description.
Bronze Griffon (Rare). This bronze statuette is of a griffon rampant. It can become a griffon for up to 6 hours. Once it has been used, it can't be used again until 5 days have passed.
Ebony Fly (Rare). This ebony statuette is carved in the likeness of a horsefly. It can become a giant fly for up to 12 hours and can be ridden as a mount. Once it has been used, it can't be used again until 2 days have passed.
Golden Lions (Rare). These gold statuettes of lions are always created in pairs. You can use one figurine or both simultaneously. Each can become a lion for up to 1 hour. Once a lion has been used, it can't be used again until 7 days have passed.
Ivory Goats (Rare). These ivory statuettes of goats are always created in sets of three. Each goat looks unique and functions differently from the others. Their properties are as follows
Marble Elephant (Rare). This marble statuette is about 4 inches high and long. It can become an elephant for up to 24 hours. Once it has been used, it can't be used again until 7 days have passed.
Obsidian Steed (Very Rare). This polished obsidian horse can become a nightmare for up to 24 hours. The nightmare fights only to defend itself. Once it has been used, it can't be used again until 5 days have passed.
If you have a good alignment, the figurine has a 10 percent chance each time you use it to ignore your orders, including a command to revert to figurine form. If you mount the nightmare while it is ignoring your orders, you and the nightmare are instantly transported to a random location on the plane of Hades, where the nightmare reverts to figurine form.
Onyx Dog (Rare). This onyx statuette of a dog can become a mastiff for up to 6 hours. The mastiff has an Intelligence of 8 and can speak Common. It also has darkvision out to a range of 60 feet and can see invisible creatures and objects within that range. Once it has been used, it can't be used again until 7 days have passed.
Serpentine Owl (Rare). This serpentine statuette of an owl can become a giant owl for up to 8 hours. Once it has been used, it can't be used again until 2 days have passed. The owl can telepathically communicate with you at any range if you and it are on the same plane of existence.
Silver Raven (Uncommon). This silver statuette of a raven can become a raven for up to 12 hours. Once it has been used, it can't be used again until 2 days have passed. While in raven form, the figurine allows you to cast the Animal Messenger spell on it at will.
In addition, the following Figurine of Wondrous Power was added in Fizban's Treasury of Dragons:
Gold Canary (Legendary)
",http://dnd5e.wikidot.com/wondrous-items:figurine-of-wondrous-power,"Needs manual intervention, has a table. "
Finder's Goggles,uncommon,requires attunement by a creature with the Mark of Finding,Wondrous item,Eberron - Rising from the Last War,"The lenses of these garish goggles are carved from Siberys dragonshards. While wearing these lenses, you gain the following benefits:
",http://dnd5e.wikidot.com/wondrous-items:finders-goggles,
Gauntlets of Ogre Power,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"Your Strength score is 19 while you wear these gauntlets. They have no effect on you if your Strength is 19 or higher without them.
",http://dnd5e.wikidot.com/wondrous-items:gauntlets-of-ogre-power,
Gem of Brightness,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"This prism has 50 charges. While you are holding it, you can use an action to speak one of three command words to cause one of the following effects:
When all of the gem's charges are expended, the gem becomes a non magical jewel worth 50 gp.
",http://dnd5e.wikidot.com/wondrous-items:gem-of-brightness,
Gloves of Missile Snaring,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"These gloves seem to almost meld into your hands when you don them. When a ranged weapon attack hits you while you're wearing them, you can use your reaction to reduce the damage by 1d10 + your Dexterity modifier, provided that you have a free hand. If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in that hand.
",http://dnd5e.wikidot.com/wondrous-items:gloves-of-missile-snaring,
Gloves of Swimming and Climbing,uncommon,requires attunement,Wondrous item,Dungeon Master's Guide,"While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.
",http://dnd5e.wikidot.com/wondrous-items:gloves-of-swimming-and-climbing,
Gloves of Thievery,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"These gloves are invisible while worn. While wearing them, you gain a +5 bonus to Dexterity (Sleight of Hand) checks and Dexterity checks made to pick locks.
",http://dnd5e.wikidot.com/wondrous-items:gloves-of-thievery,
Goggles of Night,uncommon,No Attunement,Wondrous item,Dungeon Master's Guide,"While wearing these dark lenses, you have darkvision out to a range of 60 feet. If you already have darkvision, wearing the goggles increases its range by 60 feet.
",http://dnd5e.wikidot.com/wondrous-items:goggles-of-night,
Goggles of Object Reading,uncommon,requires attunement,Wondrous item,Explorer's Guide to Wildemount,"These leather-framed goggles feature purple crystal lenses. While wearing the goggles, you have advantage on Intelligence (Arcana) checks made to reveal information about a creature or object you can see.
In addition, you can cast the Identify spell using the googles. Once you do so, you can't do so again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:goggles-of-object-reading,
Guardian Emblem,uncommon,requires attunement by a cleric or paladin,Wondrous item (holy symbol),Tasha's Cauldron of Everything,"This emblem is the symbol of a deity or a spiritual tradition. As an action, you can attach the emblem to a suit of armor or a shield or remove it.
The emblem has 3 charges. When you or a creature you can see within 30 feet of you suffers a critical hit while you're wearing the armor or wielding the shield that bears the emblem, you can use your reaction to expend 1 charge to turn the critical hit into a normal hit instead.
The emblem regains all expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:guardian-emblem,
